LOT-ID,Rxn_ID,SMILES,exp_name,type,targets,catalyst,base,solvent,temperature
XLS001AI-AC3422-AMI452-20251028SB,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_XantPhos, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926S2,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_rac-BINAP, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926S1,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_rac-BINAP, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,0,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,CC(C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20251028SE,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_tBu3P, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC(C)(C)P(C(C)(C)C)C(C)(C)C,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926T2,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_tBu3P, 3.0_Cs2CO3, 1ml_Toluene, 110C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC(C)(C)P(C(C)(C)C)C(C)(C)C,O=C([O-])[O-].[Cs+].[Cs+],Cc1ccccc1,110
XLS001AI-AC3422-AMI452-20251028SD,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_tBu3P, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC(C)(C)P(C(C)(C)C)C(C)(C)C,CC(C)(C)[O-].[Na+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926T1,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_Pd2(dba)3, 0.2_tBu3P, 3.0_t-BuONa, 1ml_Toluene, 110C_10h",Buchwald,0,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd].CC(C)(C)P(C(C)(C)C)C(C)(C)C,CC(C)(C)[O-].[Na+],Cc1ccccc1,110
XLS001AI-AC3422-AMI452-20251028PL,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_RuPhos Pd G3, 0.2_RuPhos, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,0,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926P6,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_SPhos Pd G4, 3.0_Cs2CO3, 1ml_Dioxane, 80C_10h",Buchwald,0,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,O=C([O-])[O-].[Cs+].[Cs+],C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926L1,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_SPhos Pd G4, 3.0_LiHMDS, 1ml_Dioxane, 80C_10h",Buchwald,0,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,[Li]N([Si](C)(C)C)[Si](C)(C)C,C1COCCO1,80
XLS001AI-AC3422-AMI452-20250926P7,AC3422_AMI452,Cl[c:6]1[n:2]([CH3:1])[cH:3][n:4][cH:5]1.[CH3:7][N:8]([NH2:9])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16]>>[CH3:1][n:2]1[cH:3][n:4][cH:5][c:6]1[NH:9][N:8]([CH3:7])[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16],"0.2_SPhos Pd G4, 3.0_t-BuONa, 1ml_Dioxane, 80C_10h",Buchwald,0,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(C)(C)[O-].[Na+],C1COCCO1,80
